Film name,Genre,Plot,Directed by,Written by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Budget,Box office
2B (film),Science Fiction,"Set in the near future, 2B portrays a familiar decaying world on the cusp of ""great transformation and awesome wonders"". The story is based upon real science and evolving technologies. When the world's first transhuman is created by a renegade corporate CEO and bioscientist, the foundations of society's beliefs are threatened in a transhuman world where man merges with technology.",Richard Kroehling,Bob Coen/ Eric Nadler/ Christian Plummer,,Bob Coen/ Eric Nadler,James Remar/ Kevin Corrigan/ Jane Kim/ Hayley DuMond,,,Michael Galasso/ Jihae,,,"October 2, 2009Woodstock)",92 minutes,,
7 Splinters in Time,Science Fiction,"A detective investigates a murder, only to find that the victim is himself. Soon, he discovers multiple versions of himself, not all of them friendly.
Darius Lefaux is a gumshoe detective. His career is in shambles, his romantic life is comically void, and his only real human connection a cantankerous old woman who lives next door. One day a murder comes in, and Darius is summoned to view the body. But there’s something very strange about this one. The body is ... him. The body is identical to Darius's.
Memories begin to haunt Darius, fragments of events that don't make sense. As the plot thickens, more duplicates of Darius emerge. One version is trying to kill him. In a race against the clock, Darius sets out to find this other self before it finds him.
Meanwhile, John Luka—an old ally of Darius and an eccentric, out-of-work juggler—learns that his friend may be in trouble. We learn that Luka was involved in a time travel experiment run amok, left scarred and destitute by the ordeal. Re-invigorated by the chance to help his friend, he sets out in search of Fyodor Wax, the father of the experiment, hoping Fyodor will lead him to his ""brother Darius"" before it’s too late.
As Darius chips away at the case of his multiple selves, he is reunited with Alise, a beautiful woman from his past. A long-buried, yet troubled, romance is reignited. More memories surface—from a life they once had together, a life interrupted by an accident on a desert road ten years ago. When Luka finds Darius, the two men learn more about their shrouded past and the scientific experiment that links their existence, and it's suddenly clear what has to be done.
Darius and Luka journey to a secret site called ""Omphalos,"" where they hope to put a stop to the disastrous experiment that may be at the root of their troubles. But the road to ""Omphalos"" isn't quite as it seems. The journey outward becomes a journey inward.",Gabriel Judet-Weinshel,,,Edoardo Ballerini/ Nitsa Benchetrit/ Christian H. Cooper/ Gill Holland/ Gabriel Judet-Weinshel,Al Sapienza/ Ashley Nicole Anderson/ Austin Pendleton/ Edoardo Ballerini/ Emmanuelle Chriqui/ Giuliana Carullo/ Greg Bennick/ Lynn Cohen/ Sarah Sokolovic,,,,,,"March 3, 2018",85 minutes,,
12 Monkeys,Science Fiction,"A deadly virus, released in 1996, wipes out almost all of humanity, forcing survivors to live underground. A group known as the Army of the Twelve Monkeys is believed to have released the virus.
In 2035, James Cole is a prisoner living in an underground compound beneath Philadelphia. Cole is selected to be sent back in time to find the original virus to help scientists develop a cure in exchange for a reduced sentence. Meanwhile, Cole is troubled by dreams involving a foot chase and shooting at an airport.
Cole arrives in Baltimore, 1990, not 1996 as planned; he is arrested and incarcerated at a mental hospital on the diagnosis of Dr. Kathryn Railly. There he encounters Jeffrey Goines, a mental patient with environmentalist and anti-corporatist views. Cole is interviewed by a panel of doctors where he tries to explain that the virus outbreak has already happened.
After an escape attempt, Cole is sedated and locked in a cell, but he disappears, waking up back in 2035. Cole is interrogated by the scientists who play a distorted voicemail message that asserts the association of the Army of the Twelve Monkeys with the virus. He is also shown photos of numerous people suspected of being involved, including Goines. The scientists offer Cole another chance to complete his mission and send him back in time. Cole accidentally arrives at a battlefield during World War I, is shot in the leg and then transported to 1996.
In 1996, Railly gives a lecture about the Cassandra complex to a group of scientists. At the post-lecture book signing, Railly meets Dr. Peters who tells her that apocalypse alarmists represent the sane vision while humanity's gradual destruction of the environment is the real lunacy.
Cole arrives at the venue after seeing flyers publicizing it and, when Railly departs, he kidnaps her and forces her to take him to Philadelphia. They learn that Goines is the founder of the Army of the Twelve Monkeys before they set out in search of him. When Cole confronts Goines, he denies any involvement with the group and says that, in 1990, Cole originated the idea of wiping out humanity with a virus stolen from Goines' virologist father, Dr. Leland Goines.
Cole is transported back to 2035 where he reaffirms to the scientists his commitment to his mission. But when he finds Railly again in 1996, he tells her he now believes himself crazy as she had suggested. Meanwhile, Railly has discovered evidence of his time travel which she shows him, believing he is sane. They decide to depart for the Florida Keys before the onset of the plague.
They learn that the Army of the Twelve Monkeys was not the source of the epidemic; the group's major act of protest is releasing animals from a zoo and placing Goines' father in an animal cage. At the airport, Cole leaves a message telling the scientists that following the Army of the Twelve Monkeys is the wrong track and he will not return. Cole is confronted by Jose, his cell mate from his own time, who gives Cole a handgun and instructs him to follow orders.
Railly spots Dr. Peters at the airport and recognizes him from a newspaper as an assistant of Goines' father. Peters is about to embark on a tour of several cities that match the locations of the viral outbreaks.
Cole forces his way through a security checkpoint in pursuit of Peters. After drawing his gun, Cole is shot by police. As Cole lies dying in Railly's arms, Railly suddenly begins to scan the crowd around her. Railly finally makes eye contact with a small boy—the young James Cole witnessing the scene of his own death, which will replay in his dreams for years to come. Peters, aboard the plane with the virus, sits down next to Jones, one of the scientists from the future, who comments that her job is ""insurance."" The young Cole watches the plane take off from the ground outside the airport.",Terry Gilliam,,,Charles Roven,Bruce Willis/ Madeleine Stowe/ Brad Pitt/ Christopher Plummer,Roger Pratt,Mick Audsley,Paul Buckmaster,,Universal Pictures,"December 29, 1995",129 minutes,$29.5 million,$168.8 million
12 to the Moon,Science Fiction,"Earth's International Space Order prepares for its first astronaut landing on the Moon, with the goal of claiming it as ""international territory."" The crew of Lunar Eagle 1 comprises 12 people from around the world, 10 men and two women, all scientists with different specialties, accompanied by a small menagerie, including two cats. The spaceship is commanded by American John Anderson.
Historical and international tensions flare up during the flight. Russian Feodor Orloff struts about, annoyingly claiming that all scientific advancements were invented by the Soviets. Israeli David Ruskin warns Feodor that the USSR would be unwise to attempt to dominate Israel, as it has done to his native Poland. David admires fellow astronaut Erich Heinrich, unaware that Erich's father was the Nazi responsible for murdering David's family during the Holocaust.
After a dangerous 27-hour flight, Lunar Eagle 1 lands and the crew begin their exploration of the Moon. Sigrid Bomark and Selim Hamid find an air-filled cave and, after shedding their space helmets, they kiss passionately. As they walk hand-in-hand deeper into the cave, its opening is suddenly sealed by impenetrable ice.
The others discover gold and minerals, but when they fire a mortar into a rock formation, liquid begins bubbling out. An excited Feodor rushes over and sticks his hands into the flow, and he is badly burned. On the way back to their spaceship, a crew member sinks to his death in lunar quicksand. John tries unsuccessfully to save him and is almost pulled under.
Inside Lunar Eagle 1, a machine begins printing hieroglyphics. Surprisingly, Hideko Murata can read them. It is a message from ""The Great Coordinator of the Moon,"" who orders the crew to leave at once. The message also states that the emotionless Moon-beings live underground and fear that the Earthlings will ""contaminate our perfect form of harmony."" Sigrid and Salim are being studied because the Moon-beings are unfamiliar with ""love."" They and ""all your kind"" will be destroyed ""if love turns to evil."" The Moon-beings also demand that the expedition's cats, brought as an experiment to see if they could procreate on the Moon, be left behind. They find the cats as interesting as people.
Erich has a heart attack during Lunar Eagle 1's blastoff. As he babbles on half-conscious, David learns that Erich's father was the Nazi who killed David's family. However, when David learns that Erich has disowned his family and devoted his life to trying to make amends for his father's crimes, they become friends.
Near Earth, the crew witnesses ""the big freeze,"" a gigantic freezing cloud controlled from the Moon, which encases all of Canada, the U.S. and Mexico in thick ice.
John drops ""atomic bomblets"" into the volcano Popocatepetl to trigger a huge eruption to thaw out North America. Etienne Martel sabotages the bomblets, revealing himself to be a French communist. He incorrectly assumes that Feodor would also want to keep America frozen in order to advance international communism's quest for world domination. He and Etienne fight, Feodor calls to John for help and when Etienne unfairly pulls out a knife, John knocks the weapon out of his hand while knocking him down. Feodor repairs the bomblets.
Erich and David fly a suicide mission to drop the bomblets from their spaceship's smaller space taxi. Popocatepetl erupts and North America begins to thaw. Another message from the Moon says that the Moon-beings now realize that Earthlings are honorable and peaceful, and that the North Americans were put into suspended animation before the big freeze, so no one has been harmed. Moreover, Earthlings will be welcomed to the Moon whenever they return.
Following the great thaw, Lunar Eagle 1's triumphant crew prepare to land.",David Bradley,Fred Gebhardt/ DeWitt Bodeen,,Fred Gebhardt,Ken Clark/ Michi Kobi/ Tom Conway/ Anna-Lisa,John Alton,Edward Mann,Michael Andersen,,Columbia Pictures,June 1960,74 minutes,"$150,000",
15 till Midnight,Science Fiction,"Lukas Reyes is trapped in a seemingly endless loop between parallel existences, one being occupied by his spouse, Sera, and another being occupied by a relation from another life, Nara. As worlds seem to begin colliding and further bleeding into one another, he finds himself pursued by a group of shadow-men known as ""The Knowers"". The common thread between everything being a significance with the time 11:45 - fifteen minutes until midnight.",Wolfgang Meyer,Brandon Slagle,,Wolfgang Meyer/ Brandon Slagle/ David Hoberman/ Matthew Doyle/ Samantha Starr,Brandon Slagle/ Dee Martin/ Devanny Pinn,Daniel Lipski,Maximillian Williams,Isaias Garcia,,Rotten Apple Productions,"September 24, 2010",,,
The 27th Day,Science Fiction,"Englishwoman Evelyn Wingate, American reporter Jonathan Clark, Chinese peasant Su Tan, German physicist Klaus Bechner, and Soviet soldier Ivan Godofsky are randomly transported to an alien spacecraft in Earth orbit. There, they are met by a humanoid referring to himself only as ""The Alien"", who explains that he is the representative of a world orbiting a sun about to go nova. Needing a new world to inhabit within the next 35 days, yet prohibited by their moral code from killing intelligent life, The Alien provides each of the five with sets of three capsules in a clear, round, hand-held case. Each set is capable of destroying all human life within a 3,000-mile diameter; their expectation is that humanity will use all the capsules, obliterating itself, leaving the Earth for the aliens to populate. The capsules' containers can only be opened by the thought waves of the person to whom they were given. Once out in the open, they can be used by anyone, but only during the next 27 days, after which the capsules become inert. The Alien states that if humanity does not destroy itself, the Alien's cannot invade and will perish. He also explains that if one or more of the five die, their capsules will self-destruct and become harmless.
Returned to Earth, Eve throws her case into the English Channel and books a flight to Los Angeles. Su Tan chooses to commit suicide, and her capsules self-destruct. The others go about their business when the Alien commandeers all Earth's communications and reveals to the world the existence and power of the capsules. Overhearing the broadcast, Bechner is hit by a car while crossing the street and is taken to the hospital, while Pvt. Godofsky is detained by his superiors. Arriving in Los Angeles, Eve is met by a now-disguised Clark, who takes her to a closed race track where they can safely hide. Godofsky is interviewed by a Soviet general who, dissatisfied with his vague story, orders him subjected to intense interrogation.
Panic over the Alien's broadcast grows in the days that follow. Repeated beatings leave Godofsky in shock, while a recovering Bechner refuses to reveal the details of The Alien's plan. After two Communist agents nearly succeed in killing Bechner, and an innocent man who looked like Clark is killed by a mob, Clark and Eve reveal themselves and are taken into government custody.
Through the application of sodium pentothal to Godofsky, the Soviets discover The Alien's plan and gain access to his capsules. Their resulting announcement fuels global anxiety, prompting the other three remaining to cooperate with authorities. Confronted with an ultimatum for all U.S. military forces to withdraw throughout the world, one of Bechner's capsules is tested to verify the Soviet threat. A dying volunteer is left on a raft in the ocean, just within the 3,000 mile limit, while the U.S. Navy destroyer that delivered him sits safely outside that limit. Aboard, an emotionally wrought Bechner has to be convinced to open his case, but he is unable to use the capsules. The Admiral takes them and reads the coordinates out loud; the subject is instantly vaporized, and the U.S. begins withdrawing its forces worldwide.
Aboard ship, Bechner, Clark, and Eve discuss that the Soviets must use the capsules at the last minute to avoid retaliation. Determined to find a way to counter this, Bechner studies the remaining capsules and discovers an imprinted mathematical code. As the Soviet general prepares to use the capsules, Godofsky rushes him and knocks them from the general's hands; they fall to the ground two stories below. At the very same instant, Bechner launches the capsules. He later explains that the hidden code is programmed for both life and death. The entire Earth is blanketed with a high-pitched sonic wave from space that selectively kills every ""known enemy of human freedom"".
Later, humanity, unified under the United Nations, extends an invitation to The Alien and his race to coexist with us peacefully on Earth. The preceding events had secretly been a test of humanity's character, a way for The Alien to judge mankind's true nature. The Alien accepts the offer, and a new day like no other dawns for humanity.",William Asher,Robert M. Fresco (uncredited),,Helen Ainsworth,Gene Barry/ Valerie French/ George Voskovec/ Arnold Moss,Henry Freulich,Jerome Thoms,Mischa Bakaleinikoff,,Columbia Pictures,July 1957,75 minutes,,
2012: Supernova,Science Fiction,"When a star gone supernova threatens to destroy Earth, an astrophysicist puts together a dangerous and desperate plan to shield Earth from the destructive burst of radiation heading toward it. The movie begins in the year 2010 where a NASA scientist detects a massive asteroid coming towards earth that will crash into the Pacific Ocean and cause the tectonic plates to shift and possibly cause every continent on earth to sink. In order to prevent this the scientist John Cleves decides to ask his wife Sharon bates for help, she tells him that the only way to prevent this is to shield the USA with enough electricity. In the end every continent and country on earth sinks. Only the usa survives surrounded completely by ocean.",Anthony Fankhauser,Anthony Fankhauser/ John Macy/ John Willis III,,Paul Bales/ Stephen Fiske/ David Michael Latt/ David Rimawi,Brian Krause/ Heather McComb/ Najarra Townsend,Mark Atkins,Danny Maldonado,Chris Ridenhour,,The Asylum,"October 27, 2009",87 minutes,"$200,000",
"20,000 Leagues Under the Sea (1916 film)",Science Fiction,"A strange ""sea monster"" has been rampaging the seas. The United States sends the naval vessel Abraham Lincoln to investigate. During their search, the vessel runs into the ""monster,” and it damages their ship. The mysterious monster turns out to be Nautilus, the technologically advanced submarine of Captain Nemo. After the attack, the Abraham Lincoln is adrift with no rudder. Then, a ""strange rescue"" takes place. Captain Nemo guides his submarine directly beneath the four people who had been aboard the ship and fallen into the sea during the attack. Nautilus surfaces, and Nemo's crew brings the four rescued individuals aboard the submarine. The four include master harpooner Ned Land, a professor Pierre Aronnax, his daughter, and the professor's assistant. Once aboard the submarine, the four must swear they will not attempt to escape. The captain introduces them to his vessel and the wonders of its underwater realm. He later takes them hunting on the seafloor.
Meanwhile, union soldiers in a runaway Union Army balloon are marooned on a mysterious island. The soldiers find a wild girl living alone. Soon the yacht of Charles Denver arrives at the island. A woman's ghost (Princess Daaker) has haunted Denver, a former British colonial officer in India, whom he attacked years ago. Rather than submit to him sexually, she had stabbed and killed herself. Denver then fled with her young daughter only to abandon her on the island. Long tormented by his crime, he returned to find the girl or determine what happened to her.
One soldier scheme to kidnap the child aboard Denver's yacht. Another hears of the plan and starts swimming to the yacht to rescue her. Simultaneously, Nemo discovers the yacht belongs to Denver, the enemy he has been seeking all these years. The Nautilus destroys the yacht with a torpedo, but Captain Nemo saves the girl and her rescuer.
In elaborate flashback scenes to India, Nemo reveals he is Prince Daaker and created the Nautilus to seek revenge on Charles Denver. It overjoyed him to discover that the abandoned wild girl is his long-lost daughter, but his emotion overcomes him, and he dies. His loyal crew buries him at the ocean bottom. They disband and set the Nautilus adrift.
",Stuart Paton,,,Carl Laemmle,Allen Holubar/ Jane Gail,Eugene Gaudio,,,,Universal,"December 24, 1916",105 minutes,"$500,000 (equivalent to $11,747,706 in 2019)",$8 million
Adventures in Dinosaur City,Science Fiction,"Three teenage friends, named Timmy, Mick, and Jamie, enjoy watching an animated TV series called Dino Saurs, which features anthropomorphic dinosaurs and cavepeople. Wanting to watch a VHS tape of the cartoon on a better screen, Timmy, the youngest of the three, suggests that they try watching it on the big TV screen in his parents' laboratory. However, this screen is part of an experimental device designed to open a portal to another dimension. After they put the videotape into the device and turn it on, a vortex sucks the three into the screen, and into the universe in which the show takes place.
They find that they are in a building in Saur City and come across Forry, a Rhamphorhynchus who lost his ability to fly. Shortly afterward, a group of cavepeople called the Rockies enter the building. They work for an Allosaurus named Mr. Big, a dictator who oppresses the residents of Saur City. The Rockies steal a fuse that is part of a cooling system for lava tanks. Without the fuse, the tanks will melt and the lava will destroy Saur City. Additionally, the kids think that they need the fuse in order to reopen the portal to their world and return home.
Although reluctant, Forry's knowledge of his world proves useful as he guides the three through a dinosaur graveyard and onward to Tar Town. Once there, they enter a bar and find a Tyrannosaurus named Rex and a Protoceratops named Tops. The kids expect them to help, since they are the main heroes of the cartoon show. Initially refusing to help, the two change their minds after the kids help them fight off the Rockies.
The group goes to Saur City and rests at Forry's tree house. Timmy talks to Rex about the possibility that all fictional stories really do happen in other worlds, and hints that he does not want to return to his world because it is boring. Meanwhile, romantic feelings develop between Mick and Jamie. Rex takes Timmy to a nearby island, and reveals that his father is considered a traitor who surrendered Saur City to Mr. Big. When the two return to the tree house, the group is attacked by the Rockies. During the battle, Timmy discovers that he can pause and rewind the Rockies by using the remote control that he brought with him from his parents' lab. Mr. Big witnesses this and orders the Rockies to get him the remote. The Rockies capture Timmy and take the remote. They then go to Mr. Big's tower.
Mick, Jamie, Rex, Tops, and Forry sneak into the tower's dungeon. They find Rex's imprisoned father, who reveals that Mr. Big used a mind-controlling potion to force him to surrender Saur City. The group sets the prisoners free, and Rex confronts Mr. Big as he is interrogating Timmy. During the ensuing battle, Mick and Tops rescue Timmy, and the group recovers the remote. Rex fights and nearly defeats Mr. Big, but Mr. Big grabs a sword. Just then, Timmy zaps Mr. Big with the remote, making him disappear.
The group begin to leave the tower by using the elevator, which relies on the fuse for power. Therefore, Forry stays behind until the others have left and then manages to fly the fuse out. Rex's father sacrifices himself to destroy the tower. The group go to the building containing the lava tanks and reattach the fuse. Timmy uses the remote to reopen the portal. Despite Timmy's reluctance to go, the kids return to their universe right before Timmy's parents return home from a scientific conference. The kids bring Timmy's parents into the lab to show them what happened, and then there is the sound of the device activating.",Brett Thompson,Wili Baronet/ Lisa Morton,,Luigi Cingolani,Omri Katz/ Shawn Hoffman/ Tiffanie Poston,Rick Fichter,W. Peter Miller/ Elizabeth Canney,Fredric Teetsel,,Guild Home Video (United Kingdom direct-to-video release)/ Acteurs Auteurs Associés (AAA) (France theatrical release)/ The Disney Channel (United States TV premiere)/ Republic Pictures Home Video (United States home video release),,88 minutes,,
After Darkness (2019 film),Science Fiction,"As the sun burns out and darkness shrouds the planet, the wealthy Beaty family – waiting for a pre-arranged rescue from their country estate – must reckon with long-held grudges and heal painful memories from the past.
Strict father Raymond, always mentally abusive to his wife and kids, becomes more so as he does not get a return call from the Senator who had promised to evacuate the Beaty family to a secure facility in caves.
Wife Georgina needs a steady supply of pills to deal with the mental break caused by the suicide of teenaged daughter Abbey five years earlier. Eldest child Raymond Jr. (Ray) left after his sister died, telling everyone that her suicide was due to their father. Second child Fred arrives with an unexpected (the family does not communicate much) girlfriend, Margot, who is nine months pregnant. Youngest child  Clara, the only one still living at home, turns 15 a few days after the others arrive. Naively, she is the most hopeful of them all.
Raymond treats the family harshly, accusing Margot of being a gold digger wanting to be saved, constantly telling Georgina that she is responsible for Abbey’s death, and chasing off Brian, Ray’s boyfriend, when he shows up to spend his expected final days with the man he loves.
The world is plunged into constant night. Margot gives birth the same “day” that the senator finally calls, confirming that the cave plan was unsuccessful. Raymond tells the family that their evacuation is imminent, but Ray has overheard the phone call. While the others pack and Georgina prepares a meal, Ray gathers the same type of berry that Abbey ate to painlessly poison herself. He wordlessly takes them to his mother, who understands the truth and cooks them into the meal.
Before the family can eat, two armed men enter the house, demanding supplies. After Clara mentions the caves, and Raymond reveals that they do not exist, the family loses all hope. Raymond kills one intruder and the other gives up and leaves. Margot leaves with the baby, hoping to get back to her own family before the end of life on Earth.
The Beatys huddle together against the cold, all dozing off. In the morning, they are awakened by the Sun shining through the window. It is implied that, having given up all hope the family ate the berries off-screen and are now in some form of afterlife having discussed what their death would be like shortly before they fall asleep.
The Beatys leave the house together, finally united as a family, removing their heavy jackets to enjoy the warmth of the Sun.",Batán Silva,Fernando Diez Barroso,,Fernando Diez Barroso/ Monica Aguirre/ Mia Chang/ Barrett J. Klausman,Tim Daly/ Natalia Dyer/ Kyra Sedgwick,Roger Pistole,Roberto Silvi/ Larry Madaras,Daniel Hidalgo Valdés,,Grindstone Entertainment Group,"January 15, 2019",98 minutes,,
