President,Order,Headline,Text
Joe Biden,46,Introduction,"Joseph Robinette Biden Jr. (/ˈbaɪdən/ (listen) BY-dən; born November 20, 1942) is an American politician who is the 46th and current president of the United States. A member of the Democratic Party, he previously served as the 47th vice president from 2009 to 2017 under President Barack Obama and represented Delaware in the United States Senate from 1973 to 2009. Biden was born and raised in Scranton, Pennsylvania, and moved with his family to Delaware in 1953 when he was ten years old. He studied at the University of Delaware before earning his law degree from Syracuse University. He was elected to the New Castle County Council in 1970 and became the sixth-youngest senator in U.S. history after he was elected to the United States Senate from Delaware in 1972, at age 29. Biden was the chair or ranking member of the Senate Foreign Relations Committee for 12 years. He also chaired the Senate Judiciary Committee from 1987 to 1995; led the effort to pass the Violent Crime Control and Law Enforcement Act and the Violence Against Women Act; and oversaw six U.S. Supreme Court confirmation hearings, including the contentious hearings for Robert Bork and Clarence Thomas. Biden ran unsuccessfully for the Democratic presidential nomination in 1988 and 2008. He was the fourth-most senior sitting senator when he became Obama's vice president after they won the 2008 presidential election. Obama and Biden were reelected in 2012. During his two terms as vice president, Biden leaned on his Senate experience and frequently represented the administration in negotiations with congressional Republicans. He also oversaw infrastructure spending in 2009 to counteract the Great Recession. On foreign policy, Biden was a close counselor to President Obama and took a leading role in designing the withdrawal of U.S. troops from Iraq in 2011. Biden and his running mate, Kamala Harris, defeated incumbent Donald Trump in the 2020 presidential election. Upon inauguration, he became the oldest president in U.S. history and the first to have a female vice president. Biden signed the American Rescue Plan Act to help the U.S. recover from the COVID-19 pandemic and subsequent recession. He proposed the American Jobs Plan, aspects of which were incorporated into the bipartisan Infrastructure Investment and Jobs Act. He proposed the American Families Plan, which was merged with other aspects of the American Jobs Plan into the proposed Build Back Better Act. After facing opposition in the Senate, the Build Back Better Act's size was reduced and it was comprehensively reworked into the Inflation Reduction Act of 2022, covering deficit reduction, climate change, healthcare, and tax reform. Biden appointed Ketanji Brown Jackson to the Supreme Court. In foreign policy, he restored the U.S. into the Paris Agreement on climate change. He completed the withdrawal of U.S. troops from Afghanistan, during which the Afghan government collapsed and the Taliban seized control. He responded to the 2022 Russian invasion of Ukraine by imposing sanctions on Russia and authorizing foreign aid and weapons shipments to Ukraine."
Joe Biden,46,Early life (1942–1965),"Joseph Robinette Biden Jr. was born on November 20, 1942, at St. Mary's Hospital in Scranton, Pennsylvania, to Catherine Eugenia ""Jean"" Biden (née Finnegan) and Joseph Robinette Biden Sr. The oldest child in a Catholic family, he has a sister, Valerie, and two brothers, Francis and James. Jean was of Irish descent, while Joseph Sr. had English, Irish, and French Huguenot ancestry. Biden's paternal line has been traced to stonemason William Biden, who was born in 1789 in Westbourne, England, and emigrated to Maryland in the United States by 1820. Biden's father had been wealthy and the family purchased a home in the affluent Long Island suburb of Garden City in the fall of 1946, but he suffered business setbacks around the time Biden was seven years old, and for several years the family lived with Biden's maternal grandparents in Scranton. Scranton fell into economic decline during the 1950s and Biden's father could not find steady work. Beginning in 1953 when Biden was ten, the family lived in an apartment in Claymont, Delaware, before moving to a house in nearby Mayfield. Biden Sr. later became a successful used-car salesman, maintaining the family in a middle-class lifestyle. At Archmere Academy in Claymont, Biden played baseball and was a standout halfback and wide receiver on the high school football team. Though a poor student, he was class president in his junior and senior years. He graduated in 1961. At the University of Delaware in Newark, Biden briefly played freshman football, and, as an unexceptional student, earned a Bachelor of Arts degree in 1965 with a double major in history and political science and a minor in English. Biden has a stutter, which has improved since his early twenties. He says he reduced it by reciting poetry before a mirror, but some observers suggested it affected his performance in the 2020 Democratic Party presidential debates."
Joe Biden,46,"Marriages, law school, and early career (1966–1973)","On August 27, 1966, Biden married Neilia Hunter (1942–1972), a student at Syracuse University, after overcoming her parents' reluctance for her to wed a Roman Catholic. Their wedding was held in a Catholic church in Skaneateles, New York. They had three children: Joseph R. ""Beau"" Biden III (1969–2015), Robert Hunter Biden (born 1970), and Naomi Christina ""Amy"" Biden (1971–1972). In 1968, Biden earned a Juris Doctor from Syracuse University College of Law, ranked 76th in his class of 85, after failing a course due to an acknowledged ""mistake"" when he plagiarized a law review article for a paper he wrote in his first year at law school. He was admitted to the Delaware bar in 1969. Biden had not openly supported or opposed the Vietnam War until he ran for Senate and opposed Nixon's conduct of the war. While studying at the University of Delaware and Syracuse University, Biden obtained five student draft deferments, at a time when most draftees were sent to the Vietnam War. In 1968, based on a physical examination, he was given a conditional medical deferment; in 2008, a spokesperson for Biden said his having had ""asthma as a teenager"" was the reason for the deferment. In 1968, Biden clerked at a Wilmington law firm headed by prominent local Republican William Prickett and, he later said, ""thought of myself as a Republican"". He disliked incumbent Democratic Delaware governor Charles L. Terry's conservative racial politics and supported a more liberal Republican, Russell W. Peterson, who defeated Terry in 1968. Biden was recruited by local Republicans but registered as an Independent because of his distaste for Republican presidential candidate Richard Nixon. In 1969, Biden practiced law, first as a public defender and then at a firm headed by a locally active Democrat who named him to the Democratic Forum, a group trying to reform and revitalize the state party; Biden subsequently reregistered as a Democrat. He and another attorney also formed a law firm. Corporate law, however, did not appeal to him, and criminal law did not pay well. He supplemented his income by managing properties. In 1970, Biden ran for the 4th district seat on the New Castle County Council on a liberal platform that included support for public housing in the suburbs. The seat had been held by Republican Henry R. Folsom, who was running in the 5th District following a reapportionment of council districts. Biden won the general election by defeating Republican Lawrence T. Messick, and took office on January 5, 1971. He served until January 1, 1973, and was succeeded by Democrat Francis R. Swift. During his time on the county council, Biden opposed large highway projects, which he argued might disrupt Wilmington neighborhoods."
Joe Biden,46,1972 U.S. Senate campaign in Delaware,"In 1972, Biden defeated Republican incumbent J. Caleb Boggs to become the junior U.S. senator from Delaware. He was the only Democrat willing to challenge Boggs, and with minimal campaign funds, he was given no chance of winning. Family members managed and staffed the campaign, which relied on meeting voters face-to-face and hand-distributing position papers, an approach made feasible by Delaware's small size. He received help from the AFL–CIO and Democratic pollster Patrick Caddell. His platform focused on the environment, withdrawal from Vietnam, civil rights, mass transit, equitable taxation, health care, and public dissatisfaction with ""politics as usual"". A few months before the election, Biden trailed Boggs by almost thirty percentage points, but his energy, attractive young family, and ability to connect with voters' emotions worked to his advantage and he won with 50.5 percent of the vote. At the time of his election, he was 29 years old, but he reached the constitutionally required age of 30 before he was sworn in as Senator."
Joe Biden,46,Death of wife and daughter,"On December 18, 1972, a few weeks after Biden was elected senator, his wife Neilia and one-year-old daughter Naomi were killed in an automobile accident while Christmas shopping in Hockessin, Delaware. Neilia's station wagon was hit by a semi-trailer truck as she pulled out from an intersection. Their sons Beau (aged 3) and Hunter (aged 2) were taken to the hospital in fair condition, Beau with a broken leg and other wounds and Hunter with a minor skull fracture and other head injuries. Biden considered resigning to care for them, but Senate Majority Leader Mike Mansfield persuaded him not to. Years later, Biden said he believed the truck driver had been drinking before the crash, but was never charged, and the driver's family said the deaths haunted him until he died in 1999. Biden later apologized to the driver's family. The accident filled Biden with anger and religious doubt. He wrote that he ""felt God had played a horrible trick"" on him, and he had trouble focusing on work."
Joe Biden,46,Second marriage,"Biden met the teacher Jill Tracy Jacobs in 1975 on a blind date. They married at the United Nations chapel in New York on June 17, 1977. They spent their honeymoon at Lake Balaton in the Hungarian People's Republic. Biden credits her with the renewal of his interest in politics and life. They are Roman Catholics and attend Mass at St. Joseph's on the Brandywine in Greenville, Delaware. Their daughter Ashley Biden (born 1981) is a social worker. She is married to physician Howard Krein. Beau Biden became an Army Judge Advocate in Iraq and later Delaware Attorney General before dying of brain cancer in 2015. Hunter Biden is a Washington lobbyist and investment adviser."
Joe Biden,46,Teaching,"From 1991 to 2008, as an adjunct professor, Biden co-taught a seminar on constitutional law at Widener University School of Law. The seminar often had a waiting list. Biden sometimes flew back from overseas to teach the class."
Joe Biden,46,Senate activities,"In January 1973, secretary of the Senate Francis R. Valeo swore Biden in at the Delaware Division of the Wilmington Medical Center. Present were his sons Beau (whose leg was still in traction from the automobile accident) and Hunter and other family members. At 30, he was the sixth-youngest senator in U.S. history. To see his sons, Biden traveled by train between his Delaware home and D.C.—74 minutes each way—and maintained this habit throughout his 36 years in the Senate. During his early years in the Senate, Biden focused on consumer protection and environmental issues and called for greater government accountability. In a 1974 interview, he described himself as liberal on civil rights and liberties, senior citizens' concerns and healthcare but conservative on other issues, including abortion and military conscription. In his first decade in the Senate, Biden focused on arms control. After Congress failed to ratify the SALT II Treaty signed in 1979 by Soviet general secretary Leonid Brezhnev and President Jimmy Carter, Biden met with Soviet Foreign Minister Andrei Gromyko to communicate American concerns and secured changes that addressed the Senate Foreign Relations Committee's objections. When the Reagan administration wanted to interpret the 1972 SALT I treaty loosely to allow development of the Strategic Defense Initiative, Biden argued for strict adherence to the treaty. He received considerable attention when he excoriated Secretary of State George Shultz at a Senate hearing for the Reagan administration's support of South Africa despite its continued policy of apartheid. Biden became ranking minority member of the Senate Judiciary Committee in 1981. In 1984, he was a Democratic floor manager for the successful passage of the Comprehensive Crime Control Act. His supporters praised him for modifying some of the law's worst provisions, and it was his most important legislative accomplishment to that time. In 1994, Biden helped pass the Violent Crime Control and Law Enforcement Act, also known as the Biden Crime Law, which included a ban on assault weapons, and the Violence Against Women Act, which he has called his most significant legislation. The 1994 crime law was unpopular among progressives and criticized for resulting in mass incarceration; in 2019, Biden called his role in passing the bill a ""big mistake"", citing its policy on crack cocaine and saying that the bill ""trapped an entire generation"". In 1993, Biden voted for a provision that deemed homosexuality incompatible with military life, thereby banning gays from serving in the armed forces. In 1996, he voted for the Defense of Marriage Act, which prohibited the federal government from recognizing same-sex marriages, thereby barring individuals in such marriages from equal protection under federal law and allowing states to do the same. In 2015, the act was ruled unconstitutional in Obergefell v. Hodges. Elected to the Senate in 1972, Biden was reelected in 1978, 1984, 1990, 1996, 2002, and 2008, regularly receiving about 60% of the vote. He was junior senator to William Roth, who was first elected in 1970, until Roth was defeated in 2000. As of 2022[update], he was the 19th-longest-serving senator in U.S. history."
Joe Biden,46,Opposition to busing,"In the mid-1970s, Biden was one of the Senate's strongest opponents of race-integration busing. His Delaware constituents strongly opposed it, and such opposition nationwide later led his party to mostly abandon school integration policies. In his first Senate campaign, Biden had expressed support for busing to remedy de jure segregation, as in the South, but opposed its use to remedy de facto segregation arising from racial patterns of neighborhood residency, as in Delaware; he opposed a proposed constitutional amendment banning busing entirely. In May 1974, Biden voted to table a proposal containing anti-busing and anti-desegregation clauses but later voted for a modified version containing a qualification that it was not intended to weaken the judiciary's power to enforce the 5th Amendment and 14th Amendment. In 1975, he supported a proposal that would have prevented the Department of Health, Education, and Welfare from cutting federal funds to districts that refused to integrate; he said busing was a ""bankrupt idea [violating] the cardinal rule of common sense"" and that his opposition would make it easier for other liberals to follow suit. At the same time he supported initiatives on housing, job opportunities and voting rights. Biden supported a measure[when?] forbidding the use of federal funds for transporting students beyond the school closest to them. In 1977, he co-sponsored an amendment closing loopholes in that measure, which President Carter signed into law in 1978."
Joe Biden,46,Brain surgeries,"In February 1988, after several episodes of increasingly severe neck pain, Biden was taken by ambulance to Walter Reed Army Medical Center for surgery to correct a leaking intracranial berry aneurysm. While recuperating, he suffered a pulmonary embolism, a serious complication. After a second aneurysm was surgically repaired in May, Biden's recuperation kept him away from the Senate for seven months."
